product	contig_count
reverse transcriptase/maturase family protein	25
rhamnan synthesis F family protein	1
rhamnulokinase family protein	1
ribonuclease HII	1
ribosomal-processing cysteine protease Prp	1
ribosome biogenesis GTPase YlqF	1
rubrerythrin family protein	1
sensor histidine kinase	11
septation ring formation regulator EzrA	2
shikimate dehydrogenase	1
shikimate kinase	7
sigma factor-like helix-turn-helix DNA-binding protein	101
sigma-70 family RNA polymerase sigma factor	142
signal peptidase II	1
single-stranded DNA-binding protein	2
site-specific integrase	9
solute carrier family 23 protein	1
streptothricin N-acetyltransferase Sat4	12
sugar ABC transporter permease	2
sulfate permease	1
superinfection exclusion B family protein	1
surface-displayed alpha-enolase	2
tRNA uracil 4-sulfurtransferase ThiI	1
tetracycline efflux MFS transporter Tet(40)	15
tetracycline resistance determinant leader peptide	5
tetracycline resistance ribosomal protection protein Tet(M)	9
tetracycline resistance ribosomal protection protein Tet(O)	160
thiopeptide-type bacteriocin biosynthesis protein	5
thrombospondin type 3 repeat-containing protein	9
toprim domain-containing protein	136
transcriptional regulator	1
translation elongation factor 4	1
translation initiation factor IF-3	1
transporter substrate-binding domain-containing protein	1
type A2 lanthipeptide	2
type I 3-dehydroquinate dehydratase	1
type IA DNA topoisomerase	1
type II CAAX endopeptidase family protein	2
type II toxin-antitoxin system HicB family antitoxin	1
type II toxin-antitoxin system RelE/ParE family toxin	4
type II toxin-antitoxin system antitoxin PezA	121
type II toxin-antitoxin system toxin PezT	121
type IV secretion system protein	1
type IV secretory system conjugative DNA transfer family protein	142
type IV toxin-antitoxin system AbiEi family antitoxin domain-containing protein	127
type VI secretion protein	1
tyrosine recombinase XerS	5
tyrosine-type recombinase/integrase	7
zeta toxin family protein	10
